,,,,Type,,Date,,Num,,Item,,Item Description,,Account,,Class,,Rep,,Paid,,Pay Meth,,Aging,,Qty,,Amount,,Balance,,Avg Days to Pay,,Paid Date,,Pay Period,,Amount Paid
,,,,Invoice,,09/23/2025,,AS010814,,,,,,Accounts Receivable,,Sal:RS,,SM,,Paid,,,,,,,,"2,000.00",,"4,000.00",,0.00,,,,,,0.00
,,,,Invoice,,09/23/2025,,AS010815,,,,,,Accounts Receivable,,Sal:RS,,SM,,Paid,,,,,,,,"2,000.00",,"6,000.00",,0.00,,,,,,0.00
,,,,Payment,,09/29/2025,,Online TRF,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-4,000.00",,"2,000.00",,0.00,,,,,,0.00
,,,,Invoice,,10/21/2025,,AS010856,,,,,,Accounts Receivable,,Sal:RS,,SM,,Paid,,,,,,,,"2,000.00",,"4,000.00",,0.00,,,,,,0.00
,,,,Invoice,,10/21/2025,,AS010857,,,,,,Accounts Receivable,,Sal:RS,,SM,,Paid,,,,,,,,"2,000.00",,"6,000.00",,0.00,,,,,,0.00
,,,,Payment,,10/27/2025,,Online TRF,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-4,000.00",,"2,000.00",,0.00,,,,,,0.00
,,,,Invoice,,11/17/2025,,AS010907,,,,,,Accounts Receivable,,Sal:RS,,SM,,Paid,,,,,,,,"2,000.00",,"4,000.00",,0.00,,,,,,0.00
,,,,Invoice,,11/17/2025,,AS010908,,,,,,Accounts Receivable,,Sal:RS,,SM,,Paid,,,,,,,,"2,000.00",,"6,000.00",,0.00,,,,,,0.00
,,,,Invoice,,12/20/2025,,AS010981,,,,,,Accounts Receivable,,Sal:RS,,SM,,Paid,,,,,,,,"2,000.00",,"8,000.00",,0.00,,,,,,0.00
,,,,Invoice,,12/20/2025,,AS010982,,,,,,Accounts Receivable,,Sal:RS,,SM,,Paid,,,,,,,,"2,000.00",,"10,000.00",,0.00,,,,,,0.00
,,,,Payment,,12/31/2025,,Online TRF,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-8,000.00",,"2,000.00",,0.00,,,,,,0.00
,,,,Invoice,,01/21/2026,,AS011022,,,,,,Accounts Receivable,,Sal:RS,,SM,,Paid,,,,,,,,"2,000.00",,"4,000.00",,0.00,,,,,,0.00
,,,,Invoice,,01/21/2026,,AS011023,,,,,,Accounts Receivable,,Sal:RS,,SM,,Paid,,,,,,,,"2,000.00",,"6,000.00",,0.00,,,,,,0.00
,,,,Invoice,,02/16/2026,,AS011062,,,,,,Accounts Receivable,,Sal:RS,,SM,,Paid,,,,,,,,"2,000.00",,"8,000.00",,0.00,,,,,,0.00
,,,,Invoice,,02/16/2026,,AS011063,,,,,,Accounts Receivable,,Sal:RS,,SM,,Paid,,,,,,,,"2,000.00",,"10,000.00",,0.00,,,,,,0.00
,,,,Payment,,02/17/2026,,Online TRF,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-10,000.00",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,03/20/2026,,AS011111,,,,,,Accounts Receivable,,Sal:RS,,SM,,Unpaid,,,,41,,,,"2,000.00",,"2,000.00",,0.00,,,,,,0.00
,,,,Invoice,,03/20/2026,,AS011112,,,,,,Accounts Receivable,,Sal:RS,,SM,,Unpaid,,,,41,,,,"2,000.00",,"4,000.00",,0.00,,,,,,0.00
,,,,Invoice,,04/21/2026,,AS011154,,,,,,Accounts Receivable,,Sal:RS,,SM,,Unpaid,,,,9,,,,"2,000.00",,"6,000.00",,0.00,,,,,,0.00
,,,,Invoice,,04/21/2026,,AS011156,,,,,,Accounts Receivable,,Sal:RS,,SM,,Unpaid,,,,9,,,,"2,000.00",,"8,000.00",,0.00,,,,,,0.00
,Total ABSOLUTE BUSINESS SOLUTIONS ( PVT) LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,000.00",,"8,000.00",,0.00,,,,,,
,Access Projects (Pvt)Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,Total Access Projects (Pvt)Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,,,,,
,Accura-Tech Accurate Technologies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,,,,Invoice,,10/27/2025,,AS010865,,,,,,Accounts Receivable,,Sal:RS,,AD,,Paid,,,,,,,,"5,900.00",,"5,900.00",,0.00,,,,,,0.00
,,,,Payment,,12/09/2025,,Online TRF,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-5,900.00",,0.00,,0.00,,,,,,0.00
,Total Accura-Tech Accurate Technologies,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,0.00,,,,,,
,ACSYS NETWORKS PRIVATE LIMITED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
