,,,,Type,,Date,,Num,,Item,,Item Description,,Account,,Class,,Rep,,Paid,,Pay Meth,,Aging,,Qty,,Amount,,Balance,,Avg Days to Pay,,Paid Date,,Pay Period,,Amount Paid
,,,,Payment,,05/15/2025,,Online TRF,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,0.00,,"8,850.00",,0.00,,,,,,0.00
,,,,Invoice,,08/20/2025,,AS010769,,,,,,Accounts Receivable,,Sal:EC,,AS,,Paid,,,,,,,,"385,860.00",,"394,710.00",,0.00,,,,,,0.00
,,,,Payment,,11/10/2025,,CHq Deposit,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-394,710.00",,0.00,,0.00,,,,,,0.00
,Total Pubudu Engineering (Pvt) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,0.00,,,,,,
,R&D Technologies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-120,000.00",,,,,,,,
,Total R&D Technologies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-120,000.00",,0.00,,,,,,
,R. M. N Rajakaruna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,Total R. M. N Rajakaruna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,,,,,
,Rangiri Srilanka Media Networks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,,,,Invoice,,12/29/2025,,AS010990,,,,,,Accounts Receivable,,Sal:RS,,AS,,Paid,,,,,,,,"237,180.00",,"237,180.00",,0.00,,,,,,0.00
,,,,Payment,,01/16/2026,,Deposit,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-237,180.00",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,01/22/2026,,AS011028,,,,,,Accounts Receivable,,,,AS,,Paid,,,,,,,,"79,060.00",,"79,060.00",,0.00,,,,,,0.00
,,,,Payment,,03/30/2026,,Online TRF,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-79,060.00",,0.00,,0.00,,,,,,0.00
,Total Rangiri Srilanka Media Networks,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,0.00,,,,,,
,Rapidventure (Pvt) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,,,,Invoice,,08/26/2024,,AS010259,,,,,,Accounts Receivable,,Sal:RS,,AS,,Paid,,,,,,,,"60,180.00",,"60,180.00",,0.00,,,,,,0.00
,,,,Payment,,08/26/2024,,055801,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-60,180.00",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,01/03/2025,,AS010420,,,,,,Accounts Receivable,,Sal:RS,,AS,,Paid,,,,,,,,"68,440.00",,"68,440.00",,0.00,,,,,,0.00
,,,,Invoice,,02/06/2025,,AS010475,,,,,,Accounts Receivable,,Sal:RS,,AS,,Paid,,,,,,,,"23,600.00",,"92,040.00",,0.00,,,,,,0.00
,,,,Payment,,02/18/2025,,072506,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-68,440.00",,"23,600.00",,0.00,,,,,,0.00
,,,,Invoice,,04/02/2025,,AS010556,,,,,,Accounts Receivable,,Sal:RS,,AD,,Paid,,,,,,,,"69,030.00",,"92,630.00",,0.00,,,,,,0.00
,,,,Payment,,04/02/2025,,080682,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-69,030.00",,"23,600.00",,0.00,,,,,,0.00
,,,,Payment,,05/14/2025,,Deposit,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-23,600.00",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,06/06/2025,,AS010635,,,,,,Accounts Receivable,,Sal:RS,,AD,,Paid,,,,,,,,"69,620.00",,"69,620.00",,0.00,,,,,,0.00
,,,,Payment,,06/11/2025,,085762,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-69,620.00",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,07/14/2025,,AS010703,,,,,,Accounts Receivable,,Sal:RS,,AD,,Paid,,,,,,,,"99,120.00",,"99,120.00",,0.00,,,,,,0.00
,,,,Payment,,07/14/2025,,092291,,,,,,Accounts Receivable,,,,,,Paid,,Cash,,,,,,"-99,120.00",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,12/08/2025,,AS010955,,,,,,Accounts Receivable,,,,AD,,Paid,,,,,,,,"45,430.00",,"45,430.00",,0.00,,,,,,0.00
,,,,Payment,,12/09/2025,,106306,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-45,430.00",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,12/10/2025,,AS010960,,,,,,Accounts Receivable,,,,AD,,Paid,,,,,,,,"45,430.00",,"45,430.00",,0.00,,,,,,0.00
,,,,Payment,,12/10/2025,,106311,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-38,500.00",,"6,930.00",,0.00,,,,,,0.00
,,,,Payment,,01/08/2026,,116486,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-6,930.00",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,01/12/2026,,AS011009,,,,,,Accounts Receivable,,Sal:RS,,AD,,Paid,,,,,,,,"9,440.00",,"9,440.00",,0.00,,,,,,0.00
,,,,Payment,,03/04/2026,,122772,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-9,440.00",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,04/22/2026,,AS011158,,,,,,Accounts Receivable,,Sal:RS,,AD,,Unpaid,,,,8,,,,"29,500.00",,"29,500.00",,0.00,,,,,,0.00
,Total Rapidventure (Pvt) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,"29,500.00",,"29,500.00",,0.00,,,,,,
,Redline Technologies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,Total Redline Technologies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,,,,,
,Regency Teas (Pvt) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,Total Regency Teas (Pvt) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,,,,,
,Richard Pieris Finance LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,Total Richard Pieris Finance LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,,,,,
,Rio Holdings (Pvt) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,,,,Invoice,,06/05/2024,,AS010162,,,,,,Accounts Receivable,,Sal:EC,,AS,,Paid,,,,,,,,"8,850.00",,"8,850.00",,0.00,,,,,,0.00
,,,,Payment,,06/05/2024,,Cash,,,,,,Accounts Receivable,,,,,,Paid,,Cash,,,,,,"-8,850.00",,0.00,,0.00,,,,,,0.00
,Total Rio Holdings (Pvt) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,0.00,,,,,,
,RK Computers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,,,,Invoice,,03/17/2025,,AS010529,,,,,,Accounts Receivable,,Sal:EC,,AR,,Paid,,,,,,,,"5,900.00",,"5,900.00",,0.00,,,,,,0.00
,,,,Payment,,03/17/2025,,Cash,,,,,,Accounts Receivable,,,,,,Paid,,Cash,,,,,,"-5,900.00",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,05/02/2025,,AS010593,,,,,,Accounts Receivable,,Sal:RS,,AR,,Paid,,,,,,,,"23,540.00",,"23,540.00",,0.00,,,,,,0.00
,,,,Payment,,05/02/2025,,Online TRF,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-23,540.00",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,07/01/2025,,AS010678,,,,,,Accounts Receivable,,Sal:EC,,AR,,Paid,,,,,,,,"6,100.00",,"6,100.00",,0.00,,,,,,0.00
,,,,Payment,,07/01/2025,,Cash,,,,,,Accounts Receivable,,,,,,Paid,,Cash,,,,,,"-6,100.00",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,07/15/2025,,AS010707,,,,,,Accounts Receivable,,Sal:RS,,AR,,Unpaid,,,,289,,,,"37,996.00",,"37,996.00",,0.00,,,,,,0.00
,,,,Invoice,,08/06/2025,,AS010747,,,,,,Accounts Receivable,,Sal:RS,,AR,,Paid,,,,,,,,"13,747.00",,"51,743.00",,0.00,,,,,,0.00
,,,,Payment,,08/28/2025,,000022,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-13,747.00",,"37,996.00",,0.00,,,,,,0.00
,,,,Payment,,09/08/2025,,000021,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-37,966.00",,30.00,,0.00,,,,,,0.00
,Total RK Computers,,,,,,,,,,,,,,,,,,,,,,,,,,,30.00,,30.00,,0.00,,,,,,
,ROAR AD X (PVT LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,,,,Invoice,,09/25/2024,,AS010290,,,,,,Accounts Receivable,,Sal:EC,,AD,,Paid,,,,,,,,"17,700.00",,"17,700.00",,0.00,,,,,,0.00
,,,,Payment,,10/07/2024,,Online TRf,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-17,700.00",,0.00,,0.00,,,,,,0.00
,Total ROAR AD X (PVT LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,0.00,,,,,,
,SAAF Lanka (Pvt) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,Total SAAF Lanka (Pvt) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,,,,,
,Sachindra Senanayake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,Total Sachindra Senanayake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,,,,,
,Sachintha jayathilake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,Total Sachintha jayathilake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,,,,,
,Sahasra Studio Pvt Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"165,000.00",,,,,,,,
,,,,Payment,,01/09/2024,,784442,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-165,000.00",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,02/07/2024,,AS010043,,,,,,Accounts Receivable,,Sal:EC,,AD,,Paid,,,,,,,,"59,000.00",,"59,000.00",,0.00,,,,,,0.00
,,,,Payment,,02/08/2024,,784447,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-59,000.00",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,04/30/2024,,AS010115,,,,,,Accounts Receivable,,Sal:RS,,AD,,Paid,,,,,,,,"120,720.00",,"120,720.00",,0.00,,,,,,0.00
,,,,Payment,,05/02/2024,,040756,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-120,720.00",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,03/25/2025,,AS010540,,,,,,Accounts Receivable,,Sal:EC,,AD,,Paid,,,,,,,,"60,000.00",,"60,000.00",,0.00,,,,,,0.00
,,,,Payment,,03/26/2025,,081578,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-60,000.00",,0.00,,0.00,,,,,,0.00
,Total Sahasra Studio Pvt Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,"-165,000.00",,0.00,,0.00,,,,,,
,Sai Photograph Jaffna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,Total Sai Photograph Jaffna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,,,,,
,Sampath I T Solutions Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,,,,Invoice,,04/08/2024,,AS010103,,,,,,Accounts Receivable,,Sal:RS,,A,,Paid,,,,,,,,"59,000.00",,"59,000.00",,0.00,,,,,,0.00
,,,,Payment,,05/21/2024,,201988,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-59,000.00",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,11/19/2024,,AS010359,,,,,,Accounts Receivable,,Sal:RS,,A,,Paid,,,,,,,,"57,820.00",,"57,820.00",,0.00,,,,,,0.00
,,,,Payment,,12/26/2024,,201389,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-57,820.00",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,03/21/2025,,AS010531,,,,,,Accounts Receivable,,Sal:RS,,A,,Paid,,,,,,,,"1,513,940.00",,"1,513,940.00",,0.00,,,,,,0.00
,,,,Invoice,,04/10/2025,,AS010565,,,,,,Accounts Receivable,,Sal:RS,,A,,Paid,,,,,,,,"778,499.10",,"2,292,439.10",,0.00,,,,,,0.00
,,,,Payment,,04/25/2025,,201751,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-1,513,940.00",,"778,499.10",,0.00,,,,,,0.00
,,,,Payment,,05/10/2025,,191534,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-778,499.10",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,04/21/2026,,AS011149,,,,,,Accounts Receivable,,,,A,,Unpaid,,,,9,,,,"95,580.00",,"95,580.00",,0.00,,,,,,0.00
,Total Sampath I T Solutions Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,"95,580.00",,"95,580.00",,0.00,,,,,,
,Sampath Senaratharachchige Associates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,Total Sampath Senaratharachchige Associates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,,,,,
,Sanasa Insurance Company Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,Total Sanasa Insurance Company Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,,,,,
,SANASA Media Networks (Pvt) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,,,,Invoice,,02/05/2024,,AS010041,,,,,,Accounts Receivable,,Sal:EC,,A,,Paid,,,,,,,,"325,680.00",,"325,680.00",,0.00,,,,,,0.00
,,,,Payment,,02/05/2024,,Online TRF,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-325,680.00",,0.00,,0.00,,,,,,0.00
,Total SANASA Media Networks (Pvt) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,0.00,,,,,,
,Sanken Overseas (Pvt) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,Total Sanken Overseas (Pvt) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,,,,,
,Satecro Technologies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"176,000.00",,,,,,,,
,Total Satecro Technologies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"176,000.00",,0.00,,,,,,
,SC Printing International (Pvt) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,,,,Invoice,,05/28/2025,,AS010623,,,,,,Accounts Receivable,,,,AS,,Paid,,,,,,,,"53,100.00",,"53,100.00",,0.00,,,,,,0.00
,,,,Payment,,07/23/2025,,503497,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-53,100.00",,0.00,,0.00,,,,,,0.00
,Total SC Printing International (Pvt) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,0.00,,,,,,
,Search Advance Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,,,,Invoice,,10/18/2024,,AS010317,,,,,,Accounts Receivable,,Sal:RS,,A,,Paid,,,,,,,,"198,240.00",,"198,240.00",,0.00,,,,,,0.00
,,,,Payment,,10/19/2024,,100239,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-198,240.00",,0.00,,0.00,,,,,,0.00
,Total Search Advance Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,0.00,,,,,,
,Secvision (Pvt) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,Total Secvision (Pvt) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,,,,,
,Sell-X Computers (Pvt) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,,,,Invoice,,08/20/2024,,AS010253,,,,,,Accounts Receivable,,Sal:RS,,AD,,Paid,,,,,,,,"208,860.00",,"208,860.00",,0.00,,,,,,0.00
,,,,Payment,,08/21/2024,,Online TRF,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-208,860.00",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,12/29/2025,,AS010991,,,,,,Accounts Receivable,,,,AD,,Paid,,,,,,,,"326,860.00",,"326,860.00",,0.00,,,,,,0.00
,,,,Payment,,01/07/2026,,Cash Deposit,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-326,860.00",,0.00,,0.00,,,,,,0.00
,Total Sell-X Computers (Pvt) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,0.00,,,,,,
,Senkadagala Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"73,000.00",,,,,,,,
,,,,Payment,,01/17/2024,,Online TRF,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-73,000.00",,0.00,,0.00,,,,,,0.00
,Total Senkadagala Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,"-73,000.00",,0.00,,0.00,,,,,,
,Serandib Scuba (Pvt) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,,,,Invoice,,10/29/2024,,AS010330,,,,,,Accounts Receivable,,Sal:EC,,A,,Paid,,,,,,,,"112,100.00",,"112,100.00",,0.00,,,,,,0.00
,,,,Payment,,10/29/2024,,Cash,,,,,,Accounts Receivable,,,,,,Paid,,Cash,,,,,,"-112,100.00",,0.00,,0.00,,,,,,0.00
,Total Serandib Scuba (Pvt) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,0.00,,,,,,
,Sevenx Lanka (Pvt) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,500.00",,,,,,,,
,,,,Payment,,01/09/2024,,731807,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-10,500.00",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,03/29/2024,,AS010093,,,,,,Accounts Receivable,,Sal:RS,,AD,,Paid,,,,,,,,"32,500.00",,"32,500.00",,0.00,,,,,,0.00
,,,,Payment,,03/30/2024,,743123,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-32,500.00",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,12/24/2024,,AS010409,,,,,,Accounts Receivable,,Sal:RS,,AD,,Paid,,,,,,,,"12,186.45",,"12,186.45",,0.00,,,,,,0.00
,,,,Payment,,12/24/2024,,010076,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-12,186.45",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,01/15/2025,,AS010429,,,,,,Accounts Receivable,,Sal:RS,,AD,,Paid,,,,,,,,"24,190.00",,"24,190.00",,0.00,,,,,,0.00
,,,,Payment,,03/04/2025,,Online TRF,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-24,190.00",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,09/08/2025,,AS010793,,,,,,Accounts Receivable,,Sal:RS,,AD,,Paid,,,,,,,,"19,470.00",,"19,470.00",,0.00,,,,,,0.00
,,,,Payment,,09/08/2025,,026789,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-19,470.00",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,01/14/2026,,AS011013,,,,,,Accounts Receivable,,,,AD,,Paid,,,,,,,,"12,980.00",,"12,980.00",,0.00,,,,,,0.00
,,,,Payment,,01/14/2026,,505019,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-12,980.00",,0.00,,0.00,,,,,,0.00
,Total Sevenx Lanka (Pvt) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,"-10,500.00",,0.00,,0.00,,,,,,
,Seybi Trading Pvt ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,Total Seybi Trading Pvt ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,,,,,
,Shenid IT Solutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,,,,Invoice,,09/23/2025,,AS010811,,,,,,Accounts Receivable,,Sal:EC,,AD,,Paid,,,,,,,,"769,360.00",,"769,360.00",,0.00,,,,,,0.00
,,,,Payment,,09/23/2025,,328605,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-769,360.00",,0.00,,0.00,,,,,,0.00
,Total Shenid IT Solutions,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,0.00,,,,,,
,Shinnyo-En Lanka Preschool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,,,,Invoice,,03/11/2024,,AS010075,,,,,,Accounts Receivable,,Sal:EC,,AD,,Paid,,,,,,,,"5,310.00",,"5,310.00",,0.00,,,,,,0.00
,,,,Payment,,04/24/2024,,Cash,,,,,,Accounts Receivable,,,,,,Paid,,Cash,,,,,,"-5,310.00",,0.00,,0.00,,,,,,0.00
,Total Shinnyo-En Lanka Preschool,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,0.00,,,,,,
,Silvacos (pvt) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,Total Silvacos (pvt) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,,,,,
,Silvacos Private Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,Total Silvacos Private Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,,,,,
,SILVERLINE INFORMATION TECHNOLOGY PVT LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,,,,Invoice,,02/06/2025,,AS010474,,,,,,Accounts Receivable,,Sal:EC,,A,,Paid,,,,,,,,"115,640.00",,"115,640.00",,0.00,,,,,,0.00
,,,,Payment,,02/07/2025,,078222,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-115,640.00",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,07/14/2025,,AS010702,,,,,,Accounts Receivable,,Sal:RS,,A,,Paid,,,,,,,,"604,543.50",,"604,543.50",,0.00,,,,,,0.00
,,,,Payment,,07/15/2025,,078434,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-604,543.50",,0.00,,0.00,,,,,,0.00
,Total SILVERLINE INFORMATION TECHNOLOGY PVT LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,0.00,,,,,,
,Singer (Sri Lanka) PLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,Total Singer (Sri Lanka) PLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,,,,,
,Sinnadurai Sundaralingam & Balendra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,Total Sinnadurai Sundaralingam & Balendra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,,,,,
,SLT VisionCom (Pvt) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,,,,Invoice,,05/17/2024,,AS010139,,,,,,Accounts Receivable,,Sal:EC,,A,,Paid,,,,,,,,"348,171.98",,"348,171.98",,0.00,,,,,,0.00
,,,,Payment,,07/04/2024,,280872,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-348,171.98",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,07/08/2025,,AS010695,,,,,,Accounts Receivable,,Sal:EC,,A,,Paid,,,,,,,,"365,581.70",,"365,581.70",,0.00,,,,,,0.00
,,,,Payment,,08/05/2025,,399971,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-365,581.70",,0.00,,0.00,,,,,,0.00
,Total SLT VisionCom (Pvt) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,0.00,,,,,,
,Smart IT Solution-Kekeirawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,,,,Invoice,,09/12/2025,,AS010803,,,,,,Accounts Receivable,,Sal:RS,,AR,,Paid,,,,,,,,"48,150.00",,"48,150.00",,0.00,,,,,,0.00
,,,,Payment,,09/12/2025,,Online TRF,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-48,150.00",,0.00,,0.00,,,,,,0.00
,Total Smart IT Solution-Kekeirawa,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,0.00,,,,,,
,Smart Moves & Repairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,,,,Invoice,,03/11/2026,,AS011092,,,,,,Accounts Receivable,,,,AD,,Paid,,,,,,,,"357,540.00",,"357,540.00",,0.00,,,,,,0.00
,,,,Payment,,03/12/2026,,000079,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-357,540.00",,0.00,,0.00,,,,,,0.00
,Total Smart Moves & Repairs,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,0.00,,,,,,
,Smart Net (Pvt) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,Total Smart Net (Pvt) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,,,,,
,Smart Stock (Pvt) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,,,,Invoice,,09/17/2025,,AS010807,,,,,,Accounts Receivable,,Sal:RS,,AR,,Paid,,,,,,,,"26,500.00",,"26,500.00",,0.00,,,,,,0.00
,,,,Payment,,09/17/2025,,Cash,,,,,,Accounts Receivable,,,,,,Paid,,Cash,,,,,,"-26,500.00",,0.00,,0.00,,,,,,0.00
,Total Smart Stock (Pvt) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,0.00,,,,,,
,Softlogic Information Technologies (Pvt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,,,,Invoice,,02/05/2024,,AS010042,,,,,,Accounts Receivable,,Sal:RS,,A,,Paid,,,,,,,,"599,440.00",,"599,440.00",,0.00,,,,,,0.00
,,,,Payment,,03/21/2024,,765817,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-599,440.00",,0.00,,0.00,,,,,,0.00
,,,,General Journal,,04/18/2024,,,,,,,,Accounts Receivable,,,,,,Paid,,,,,,,,"599,440.00",,"599,440.00",,0.00,,,,,,0.00
,,,,Invoice,,05/03/2024,,AS010121,,,,,,Accounts Receivable,,Sal:RS,,A,,Paid,,,,,,,,"1,180,000.00",,"1,779,440.00",,0.00,,,,,,0.00
