Type,Date,Num,Name,Item,Account,Rep,Sales Tax Code,Qty,Sales Price,Amount
Invoice,02/10/2026,AS011049,A-Networks (Pvt) Ltd,Discount,Sales Discount,AD,Taxable Sales,,"-15,000.00","-15,000.00"
Invoice,02/10/2026,AS011050,NSK Media Systems (Pvt) Ltd,BDCOM:S1500-8T (BDCOM 8-Port Gigabit RJ45 Unmanaged Switch),BDCOM,AR,Non-Taxable Sales,1.00,"6,000.00","6,000.00"
Invoice,02/10/2026,AS011051,Mr. Nipun Dissanayake,BDCOM:WAP2100-T512 (BDCOM WAP2100-T512),BDCOM,AR,Non-Taxable Sales,1.00,"21,000.00","21,000.00"
Invoice,02/11/2026,AS011052,VS Information Systems (Pvt) Ltd,Synology:RS822RP+ (Synology Rackstation RS822RP+),Synology,A,Taxable Sales,1.00,"468,787.50","468,787.50"
Invoice,02/11/2026,AS011052,VS Information Systems (Pvt) Ltd,HDD:HAT3300-4T (Synology 4TB Plus HDD),Hard Drive,A,Taxable Sales,3.00,"54,675.00","164,025.00"
Invoice,02/11/2026,AS011052,VS Information Systems (Pvt) Ltd,Synology:1 U Fixed Rail Kit,Synology,A,Taxable Sales,1.00,,
Invoice,02/11/2026,AS011052,VS Information Systems (Pvt) Ltd,C13-14 Power cable (C13-14 Power cable),Other Sales,A,Taxable Sales,2.00,,
Invoice,02/11/2026,AS011053,Techtron Integrated Solutions (Pvt) Ltd,HDD:4TB Ent Toshiba (4TB Enterprise Toshiba HDD),Hard Drive,AS,Taxable Sales,2.00,"67,000.00","134,000.00"
Invoice,02/12/2026,AS011054,Studio Dreambox,HDD:HAT3320-8T (Synology 8TB Plus Hard Drive),Hard Drive,AD,Non-Taxable Sales,1.00,"119,000.00","119,000.00"
Invoice,02/13/2026,AS011055,Barclays Computers (Pvt) Ltd,BDCOM:WAP2100-T618 (BDCOM WAP2100-T618),BDCOM,AR,Taxable Sales,2.00,"22,000.00","44,000.00"
Invoice,02/13/2026,AS011056,AMTEC ELECTRONIC (PVT) LTD,BDCOM:S1200-16P2G1S (BDCOM 16Port 100M POE+ 2Port 1G RJ45 + 1 -Port GE SFP port Unmanaged POE Sw...,BDCOM,AR,Non-Taxable Sales,2.00,"23,600.00","47,200.00"
Invoice,02/16/2026,AS011057,LANKA COMMODITY BROKERS LTD,Services,Support and Maintenance,AS,Taxable Sales,1.00,"6,938.20","6,938.20"
Invoice,02/16/2026,AS011058,LANKA COMMODITY BROKERS LTD,Host Email,Support and Maintenance,AS,Taxable Sales,1.00,"19,037.88","19,037.88"
Invoice,02/16/2026,AS011059,LANKA MOUNT CASTLE (PVT) LTD,Host Email,Support and Maintenance,AS,Taxable Sales,1.00,"15,612.50","15,612.50"
